"uid","full_sci_name","match_type","BB_Accepted","BB_Accepted2","BB_Accepted3","BB_Accepted4","fuzzy_score"
"Crocidura_congobelgica","Crocidura congobelgica","1 - exact_fullsci_w_ssp","Crocidura congobelgica",NA,NA,NA,NA
"Crocidura_cranbrooki","Crocidura cranbrooki","1 - exact_fullsci_w_ssp","Crocidura cranbrooki",NA,NA,NA,NA
"Crocidura_crenata","Crocidura crenata","1 - exact_fullsci_w_ssp","Crocidura crenata",NA,NA,NA,NA
"Crocidura_crossei","Crocidura crossei","1 - exact_fullsci_w_ssp","Crocidura crossei",NA,NA,NA,NA
"Crocidura_cyanea","Crocidura cyanea","1 - exact_fullsci_w_ssp","Crocidura cyanea",NA,NA,NA,NA
"Crocidura_denti","Crocidura denti","1 - exact_fullsci_w_ssp","Crocidura denti",NA,NA,NA,NA
"Crocidura_desperata","Crocidura desperata","1 - exact_fullsci_w_ssp","Crocidura desperata",NA,NA,NA,NA
"Crocidura_dhofarensis","Crocidura dhofarensis","1 - exact_fullsci_w_ssp","Crocidura dhofarensis",NA,NA,NA,NA
"Crocidura_dolichura","Crocidura dolichura","1 - exact_fullsci_w_ssp","Crocidura dolichura",NA,NA,NA,NA
"Crocidura_douceti","Crocidura douceti","1 - exact_fullsci_w_ssp","Crocidura douceti",NA,NA,NA,NA
"Crocidura_dsinezumi","Crocidura dsinezumi","1 - exact_fullsci_w_ssp","Crocidura dsinezumi",NA,NA,NA,NA
"Crocidura_eisentrauti","Crocidura eisentrauti","1 - exact_fullsci_w_ssp","Crocidura eisentrauti",NA,NA,NA,NA
"Crocidura_elgonius","Crocidura elgonius","1 - exact_fullsci_w_ssp","Crocidura elgonius",NA,NA,NA,NA
"Crocidura_elongata","Crocidura elongata","1 - exact_fullsci_w_ssp","Crocidura elongata",NA,NA,NA,NA
"Crocidura_erica","Crocidura erica","1 - exact_fullsci_w_ssp","Crocidura erica",NA,NA,NA,NA
"Crocidura_fingui","Crocidura fingui","1 - exact_fullsci_w_ssp","Crocidura fingui",NA,NA,NA,NA
"Crocidura_fischeri","Crocidura fischeri","1 - exact_fullsci_w_ssp","Crocidura fischeri",NA,NA,NA,NA
"Crocidura_flavescens","Crocidura flavescens","1 - exact_fullsci_w_ssp","Crocidura flavescens",NA,NA,NA,NA
"Crocidura_floweri","Crocidura floweri","1 - exact_fullsci_w_ssp","Crocidura floweri",NA,NA,NA,NA
"Crocidura_foetida","Crocidura foetida","1 - exact_fullsci_w_ssp","Crocidura foetida",NA,NA,NA,NA
"Crocidura_foxi","Crocidura foxi","1 - exact_fullsci_w_ssp","Crocidura foxi",NA,NA,NA,NA
"Crocidura_fuliginosa","Crocidura fuliginosa","1 - exact_fullsci_w_ssp","Crocidura fuliginosa",NA,NA,NA,NA
"Crocidura_fulvastra","Crocidura fulvastra","1 - exact_fullsci_w_ssp","Crocidura fulvastra",NA,NA,NA,NA
"Crocidura_fumosa","Crocidura fumosa","1 - exact_fullsci_w_ssp","Crocidura fumosa",NA,NA,NA,NA
"Crocidura_fuscomurina","Crocidura fuscomurina","1 - exact_fullsci_w_ssp","Crocidura fuscomurina",NA,NA,NA,NA
"Crocidura_glassi","Crocidura glassi","1 - exact_fullsci_w_ssp","Crocidura glassi",NA,NA,NA,NA
"Crocidura_goliath","Crocidura goliath","1 - exact_fullsci_w_ssp","Crocidura goliath",NA,NA,NA,NA
"Crocidura_gracilipes","Crocidura gracilipes","1 - exact_fullsci_w_ssp","Crocidura gracilipes",NA,NA,NA,NA
"Crocidura_grandiceps","Crocidura grandiceps","1 - exact_fullsci_w_ssp","Crocidura grandiceps",NA,NA,NA,NA
"Crocidura_grandis","Crocidura grandis","1 - exact_fullsci_w_ssp","Crocidura grandis",NA,NA,NA,NA
"Crocidura_grassei","Crocidura grassei","1 - exact_fullsci_w_ssp","Crocidura grassei",NA,NA,NA,NA
"Crocidura_grayi","Crocidura grayi","1 - exact_fullsci_w_ssp","Crocidura grayi",NA,NA,NA,NA
"Crocidura_guy","Crocidura guy","1 - exact_fullsci_w_ssp","Crocidura guy",NA,NA,NA,NA
"Crocidura_harenna","Crocidura harenna","1 - exact_fullsci_w_ssp","Crocidura harenna",NA,NA,NA,NA
"Crocidura_hikmiya","Crocidura hikmiya","1 - exact_fullsci_w_ssp","Crocidura hikmiya",NA,NA,NA,NA
"Crocidura_hildegardeae","Crocidura hildegardeae","1 - exact_fullsci_w_ssp","Crocidura hildegardeae",NA,NA,NA,NA
"Crocidura_hilliana","Crocidura hilliana","1 - exact_fullsci_w_ssp","Crocidura hilliana",NA,NA,NA,NA
"Crocidura_hirta","Crocidura hirta","1 - exact_fullsci_w_ssp","Crocidura hirta",NA,NA,NA,NA
"Crocidura_hispida","Crocidura hispida","1 - exact_fullsci_w_ssp","Crocidura hispida",NA,NA,NA,NA
"Crocidura_horsfieldii","Crocidura horsfieldii","1 - exact_fullsci_w_ssp","Crocidura horsfieldii",NA,NA,NA,NA
"Crocidura_hutanis","Crocidura hutanis","1 - exact_fullsci_w_ssp","Crocidura hutanis",NA,NA,NA,NA
"Crocidura_indochinensis","Crocidura indochinensis","1 - exact_fullsci_w_ssp","Crocidura indochinensis",NA,NA,NA,NA
"Crocidura_jacksoni","Crocidura jacksoni","1 - exact_fullsci_w_ssp","Crocidura jacksoni",NA,NA,NA,NA
"Crocidura_jenkinsi","Crocidura jenkinsi","1 - exact_fullsci_w_ssp","Crocidura jenkinsi",NA,NA,NA,NA
"Crocidura_jouvenetae","Crocidura jouvenetae","1 - exact_fullsci_w_ssp","Crocidura jouvenetae",NA,NA,NA,NA
"Crocidura_katinka","Crocidura katinka","1 - exact_fullsci_w_ssp","Crocidura katinka",NA,NA,NA,NA
"Crocidura_kivuana","Crocidura kivuana","1 - exact_fullsci_w_ssp","Crocidura kivuana",NA,NA,NA,NA
"Crocidura_lamottei","Crocidura lamottei","1 - exact_fullsci_w_ssp","Crocidura lamottei",NA,NA,NA,NA
"Crocidura_lanosa","Crocidura lanosa","1 - exact_fullsci_w_ssp","Crocidura lanosa",NA,NA,NA,NA
"Crocidura_lasiura","Crocidura lasiura","1 - exact_fullsci_w_ssp","Crocidura lasiura",NA,NA,NA,NA
"Crocidura_latona","Crocidura latona","1 - exact_fullsci_w_ssp","Crocidura latona",NA,NA,NA,NA
"Crocidura_lea","Crocidura lea","1 - exact_fullsci_w_ssp","Crocidura lea",NA,NA,NA,NA
"Crocidura_lepidura","Crocidura lepidura","1 - exact_fullsci_w_ssp","Crocidura lepidura",NA,NA,NA,NA
"Crocidura_leucodon","Crocidura leucodon","1 - exact_fullsci_w_ssp","Crocidura leucodon",NA,NA,NA,NA
"Crocidura_levicula","Crocidura levicula","1 - exact_fullsci_w_ssp","Crocidura levicula",NA,NA,NA,NA
"Crocidura_littoralis","Crocidura littoralis","1 - exact_fullsci_w_ssp","Crocidura littoralis",NA,NA,NA,NA
"Crocidura_longipes","Crocidura longipes","1 - exact_fullsci_w_ssp","Crocidura longipes",NA,NA,NA,NA
"Crocidura_lucina","Crocidura lucina","1 - exact_fullsci_w_ssp","Crocidura lucina",NA,NA,NA,NA
"Crocidura_ludia","Crocidura ludia","1 - exact_fullsci_w_ssp","Crocidura ludia",NA,NA,NA,NA
"Crocidura_luna","Crocidura luna","1 - exact_fullsci_w_ssp","Crocidura luna",NA,NA,NA,NA
"Crocidura_lusitania","Crocidura lusitania","1 - exact_fullsci_w_ssp","Crocidura lusitania",NA,NA,NA,NA
"Crocidura_lwiroensis","Crocidura lwiroensis","1 - exact_fullsci_w_ssp","Crocidura lwiroensis",NA,NA,NA,NA
"Crocidura_macarthuri","Crocidura macarthuri","1 - exact_fullsci_w_ssp","Crocidura macarthuri",NA,NA,NA,NA
"Crocidura_macmillani","Crocidura macmillani","1 - exact_fullsci_w_ssp","Crocidura macmillani",NA,NA,NA,NA
"Crocidura_macowi","Crocidura macowi","1 - exact_fullsci_w_ssp","Crocidura macowi",NA,NA,NA,NA
"Crocidura_malayana","Crocidura malayana","1 - exact_fullsci_w_ssp","Crocidura malayana",NA,NA,NA,NA
"Crocidura_manengubae","Crocidura manengubae","1 - exact_fullsci_w_ssp","Crocidura manengubae",NA,NA,NA,NA
"Crocidura_maquassiensis","Crocidura maquassiensis","1 - exact_fullsci_w_ssp","Crocidura maquassiensis",NA,NA,NA,NA
"Crocidura_mariquensis","Crocidura mariquensis","1 - exact_fullsci_w_ssp","Crocidura mariquensis",NA,NA,NA,NA
"Crocidura_maurisca","Crocidura maurisca","1 - exact_fullsci_w_ssp","Crocidura maurisca",NA,NA,NA,NA
"Crocidura_maxi","Crocidura maxi","1 - exact_fullsci_w_ssp","Crocidura maxi",NA,NA,NA,NA
"Crocidura_mdumai","Crocidura mdumai","1 - exact_fullsci_w_ssp","Crocidura mdumai",NA,NA,NA,NA
"Crocidura_mindorus","Crocidura mindorus","1 - exact_fullsci_w_ssp","Crocidura mindorus",NA,NA,NA,NA
"Crocidura_miya","Crocidura miya","1 - exact_fullsci_w_ssp","Crocidura miya",NA,NA,NA,NA
"Crocidura_monax","Crocidura monax","1 - exact_fullsci_w_ssp","Crocidura monax",NA,NA,NA,NA
"Crocidura_monticola","Crocidura monticola","1 - exact_fullsci_w_ssp","Crocidura monticola",NA,NA,NA,NA
"Crocidura_montis","Crocidura montis","1 - exact_fullsci_w_ssp","Crocidura montis",NA,NA,NA,NA
"Crocidura_munissii","Crocidura munissii","1 - exact_fullsci_w_ssp","Crocidura munissii",NA,NA,NA,NA
"Crocidura_muricauda","Crocidura muricauda","1 - exact_fullsci_w_ssp","Crocidura muricauda",NA,NA,NA,NA
"Crocidura_musseri","Crocidura musseri","1 - exact_fullsci_w_ssp","Crocidura musseri",NA,NA,NA,NA
"Crocidura_mutesae","Crocidura mutesae","1 - exact_fullsci_w_ssp","Crocidura mutesae",NA,NA,NA,NA
"Crocidura_nana","Crocidura nana","1 - exact_fullsci_w_ssp","Crocidura nana",NA,NA,NA,NA
"Crocidura_nanilla","Crocidura nanilla","1 - exact_fullsci_w_ssp","Crocidura nanilla",NA,NA,NA,NA
"Crocidura_neglecta","Crocidura neglecta","1 - exact_fullsci_w_ssp","Crocidura neglecta",NA,NA,NA,NA
"Crocidura_negligens","Crocidura negligens","1 - exact_fullsci_w_ssp","Crocidura negligens",NA,NA,NA,NA
"Crocidura_negrina","Crocidura negrina","1 - exact_fullsci_w_ssp","Crocidura negrina",NA,NA,NA,NA
"Crocidura_newmarki","Crocidura newmarki","1 - exact_fullsci_w_ssp","Crocidura newmarki",NA,NA,NA,NA
"Crocidura_nicobarica","Crocidura nicobarica","1 - exact_fullsci_w_ssp","Crocidura nicobarica",NA,NA,NA,NA
"Crocidura_nigeriae","Crocidura nigeriae","1 - exact_fullsci_w_ssp","Crocidura nigeriae",NA,NA,NA,NA
"Crocidura_nigricans","Crocidura nigricans","1 - exact_fullsci_w_ssp","Crocidura nigricans",NA,NA,NA,NA
"Crocidura_nigripes","Crocidura nigripes","1 - exact_fullsci_w_ssp","Crocidura nigripes",NA,NA,NA,NA
"Crocidura_nigrofusca","Crocidura nigrofusca","1 - exact_fullsci_w_ssp","Crocidura nigrofusca",NA,NA,NA,NA
"Crocidura_nimbae","Crocidura nimbae","1 - exact_fullsci_w_ssp","Crocidura nimbae",NA,NA,NA,NA
"Crocidura_nimbasilvanus","Crocidura nimbasilvanus","1 - exact_fullsci_w_ssp","Crocidura nimbasilvanus",NA,NA,NA,NA
"Crocidura_ninoyi","Crocidura ninoyi","1 - exact_fullsci_w_ssp","Crocidura ninoyi",NA,NA,NA,NA
"Crocidura_niobe","Crocidura niobe","1 - exact_fullsci_w_ssp","Crocidura niobe",NA,NA,NA,NA
"Crocidura_obscurior","Crocidura obscurior","1 - exact_fullsci_w_ssp","Crocidura obscurior",NA,NA,NA,NA
"Crocidura_olivieri","Crocidura olivieri","1 - exact_fullsci_w_ssp","Crocidura olivieri",NA,NA,NA,NA
"Crocidura_orientalis","Crocidura orientalis","1 - exact_fullsci_w_ssp","Crocidura orientalis",NA,NA,NA,NA
"Crocidura_orii","Crocidura orii","1 - exact_fullsci_w_ssp","Crocidura orii",NA,NA,NA,NA
"Crocidura_pachyura","Crocidura pachyura","1 - exact_fullsci_w_ssp","Crocidura pachyura",NA,NA,NA,NA
"Crocidura_palawanensis","Crocidura palawanensis","1 - exact_fullsci_w_ssp","Crocidura palawanensis",NA,NA,NA,NA
"Crocidura_panayensis","Crocidura panayensis","1 - exact_fullsci_w_ssp","Crocidura panayensis",NA,NA,NA,NA
"Crocidura_paradoxura","Crocidura paradoxura","1 - exact_fullsci_w_ssp","Crocidura paradoxura",NA,NA,NA,NA
"Crocidura_parvipes","Crocidura parvipes","1 - exact_fullsci_w_ssp","Crocidura parvipes",NA,NA,NA,NA
"Crocidura_pasha","Crocidura pasha","1 - exact_fullsci_w_ssp","Crocidura pasha",NA,NA,NA,NA
"Crocidura_pergrisea","Crocidura pergrisea","1 - exact_fullsci_w_ssp","Crocidura pergrisea",NA,NA,NA,NA
"Crocidura_phaeura","Crocidura phaeura","1 - exact_fullsci_w_ssp","Crocidura phaeura",NA,NA,NA,NA
"Crocidura_phanluongi","Crocidura phanluongi","1 - exact_fullsci_w_ssp","Crocidura phanluongi",NA,NA,NA,NA
"Crocidura_phuquocensis","Crocidura phuquocensis","1 - exact_fullsci_w_ssp","Crocidura phuquocensis",NA,NA,NA,NA
"Crocidura_picea","Crocidura picea","1 - exact_fullsci_w_ssp","Crocidura picea",NA,NA,NA,NA
"Crocidura_pitmani","Crocidura pitmani","1 - exact_fullsci_w_ssp","Crocidura pitmani",NA,NA,NA,NA
"Crocidura_planiceps","Crocidura planiceps","1 - exact_fullsci_w_ssp","Crocidura planiceps",NA,NA,NA,NA
"Crocidura_poensis","Crocidura poensis","1 - exact_fullsci_w_ssp","Crocidura poensis",NA,NA,NA,NA
"Crocidura_polia","Crocidura polia","1 - exact_fullsci_w_ssp","Crocidura polia",NA,NA,NA,NA
"Crocidura_pullata","Crocidura pullata","1 - exact_fullsci_w_ssp","Crocidura pullata",NA,NA,NA,NA
"Crocidura_raineyi","Crocidura raineyi","1 - exact_fullsci_w_ssp","Crocidura raineyi",NA,NA,NA,NA
"Crocidura_ramona","Crocidura ramona","1 - exact_fullsci_w_ssp","Crocidura ramona",NA,NA,NA,NA
"Crocidura_rapax","Crocidura rapax","1 - exact_fullsci_w_ssp","Crocidura rapax",NA,NA,NA,NA
"Crocidura_religiosa","Crocidura religiosa","1 - exact_fullsci_w_ssp","Crocidura religiosa",NA,NA,NA,NA
"Crocidura_rhoditis","Crocidura rhoditis","1 - exact_fullsci_w_ssp","Crocidura rhoditis",NA,NA,NA,NA
"Crocidura_roosevelti","Crocidura roosevelti","1 - exact_fullsci_w_ssp","Crocidura roosevelti",NA,NA,NA,NA
"Crocidura_russula","Crocidura russula","1 - exact_fullsci_w_ssp","Crocidura russula",NA,NA,NA,NA
"Crocidura_sapaensis","Crocidura sapaensis","1 - exact_fullsci_w_ssp","Crocidura sapaensis",NA,NA,NA,NA
"Crocidura_selina","Crocidura selina","1 - exact_fullsci_w_ssp","Crocidura selina",NA,NA,NA,NA
"Crocidura_serezkyensis","Crocidura serezkyensis","1 - exact_fullsci_w_ssp","Crocidura serezkyensis",NA,NA,NA,NA
"Crocidura_shantungensis","Crocidura shantungensis","1 - exact_fullsci_w_ssp","Crocidura shantungensis",NA,NA,NA,NA
"Crocidura_sibirica","Crocidura sibirica","1 - exact_fullsci_w_ssp","Crocidura sibirica",NA,NA,NA,NA
"Crocidura_sicula","Crocidura sicula","1 - exact_fullsci_w_ssp","Crocidura sicula",NA,NA,NA,NA
"Crocidura_silacea","Crocidura silacea","1 - exact_fullsci_w_ssp","Crocidura silacea",NA,NA,NA,NA
"Crocidura_smithii","Crocidura smithii","1 - exact_fullsci_w_ssp","Crocidura smithii",NA,NA,NA,NA
"Crocidura_sokolovi","Crocidura sokolovi","1 - exact_fullsci_w_ssp","Crocidura sokolovi",NA,NA,NA,NA
"Crocidura_somalica","Crocidura somalica","1 - exact_fullsci_w_ssp","Crocidura somalica",NA,NA,NA,NA
"Crocidura_stenocephala","Crocidura stenocephala","1 - exact_fullsci_w_ssp","Crocidura stenocephala",NA,NA,NA,NA
"Crocidura_suaveolens","Crocidura suaveolens","1 - exact_fullsci_w_ssp","Crocidura suaveolens",NA,NA,NA,NA
"Crocidura_susiana","Crocidura susiana","1 - exact_fullsci_w_ssp","Crocidura susiana",NA,NA,NA,NA
"Crocidura_tanakae","Crocidura tanakae","1 - exact_fullsci_w_ssp","Crocidura tanakae",NA,NA,NA,NA
"Crocidura_tansaniana","Crocidura tansaniana","1 - exact_fullsci_w_ssp","Crocidura tansaniana",NA,NA,NA,NA
"Crocidura_tarella","Crocidura tarella","1 - exact_fullsci_w_ssp","Crocidura tarella",NA,NA,NA,NA
"Crocidura_tarfayensis","Crocidura tarfayensis","1 - exact_fullsci_w_ssp","Crocidura tarfayensis",NA,NA,NA,NA
"Crocidura_telfordi","Crocidura telfordi","1 - exact_fullsci_w_ssp","Crocidura telfordi",NA,NA,NA,NA
"Crocidura_tenuis","Crocidura tenuis","1 - exact_fullsci_w_ssp","Crocidura tenuis",NA,NA,NA,NA
"Crocidura_thalia","Crocidura thalia","1 - exact_fullsci_w_ssp","Crocidura thalia",NA,NA,NA,NA
"Crocidura_theresae","Crocidura theresae","1 - exact_fullsci_w_ssp","Crocidura theresae",NA,NA,NA,NA
"Crocidura_thomensis","Crocidura thomensis","1 - exact_fullsci_w_ssp","Crocidura thomensis",NA,NA,NA,NA
"Crocidura_trichura","Crocidura trichura","1 - exact_fullsci_w_ssp","Crocidura trichura",NA,NA,NA,NA
"Crocidura_turba","Crocidura turba","1 - exact_fullsci_w_ssp","Crocidura turba",NA,NA,NA,NA
"Crocidura_ultima","Crocidura ultima","1 - exact_fullsci_w_ssp","Crocidura ultima",NA,NA,NA,NA
"Crocidura_usambarae","Crocidura usambarae","1 - exact_fullsci_w_ssp","Crocidura usambarae",NA,NA,NA,NA
"Crocidura_viaria","Crocidura viaria","1 - exact_fullsci_w_ssp","Crocidura viaria",NA,NA,NA,NA
"Crocidura_virgata","Crocidura virgata","1 - exact_fullsci_w_ssp","Crocidura virgata",NA,NA,NA,NA
"Crocidura_voi","Crocidura voi","1 - exact_fullsci_w_ssp","Crocidura voi",NA,NA,NA,NA
"Crocidura_vorax","Crocidura vorax","1 - exact_fullsci_w_ssp","Crocidura vorax",NA,NA,NA,NA
"Crocidura_vosmaeri","Crocidura vosmaeri","1 - exact_fullsci_w_ssp","Crocidura vosmaeri",NA,NA,NA,NA
"Crocidura_watasei","Crocidura watasei","1 - exact_fullsci_w_ssp","Crocidura watasei",NA,NA,NA,NA
"Crocidura_whitakeri","Crocidura whitakeri","1 - exact_fullsci_w_ssp","Crocidura whitakeri",NA,NA,NA,NA
"Crocidura_wimmeri","Crocidura wimmeri","1 - exact_fullsci_w_ssp","Crocidura wimmeri",NA,NA,NA,NA
"Crocidura_wuchihensis","Crocidura wuchihensis","1 - exact_fullsci_w_ssp","Crocidura wuchihensis",NA,NA,NA,NA
"Crocidura_xantippe","Crocidura xantippe","1 - exact_fullsci_w_ssp","Crocidura xantippe",NA,NA,NA,NA
"Crocidura_yankariensis","Crocidura yankariensis","1 - exact_fullsci_w_ssp","Crocidura yankariensis",NA,NA,NA,NA
"Crocidura_zaitsevi","Crocidura zaitsevi","1 - exact_fullsci_w_ssp","Crocidura zaitsevi",NA,NA,NA,NA
"Crocidura_zaphiri","Crocidura zaphiri","1 - exact_fullsci_w_ssp","Crocidura zaphiri",NA,NA,NA,NA
"Crocidura_zarudnyi","Crocidura zarudnyi","1 - exact_fullsci_w_ssp","Crocidura zarudnyi",NA,NA,NA,NA
"Crocidura_zimmeri","Crocidura zimmeri","1 - exact_fullsci_w_ssp","Crocidura zimmeri",NA,NA,NA,NA
"Crocidura_zimmermanni","Crocidura zimmermanni","1 - exact_fullsci_w_ssp","Crocidura zimmermanni",NA,NA,NA,NA
"Crocuta_crocuta","Crocuta crocuta","1 - exact_fullsci_w_ssp","Crocuta crocuta",NA,NA,NA,NA
