uid	bb_name	bb_name2	bb_name3	bb_name4	source	notes
Nannospalax_hungaricus	Nannospalax leucodon	NA	NA	NA	MDD	split from N. leucodon in 2023
Nannospalax_judaei	Nannospalax ehrenbergi	NA	NA	NA	MDD	ehrenbergi includes carmeli, galili, golani, and judaei
Nannospalax_montanoserbicus	Nannospalax leucodon	NA	NA	NA	MDD	split from N. leucodon in 2023
Nannospalax_monticola	Nannospalax leucodon	NA	NA	NA	MDD	split from N. leucodon in 2023
Nannospalax_serbicus	Nannospalax leucodon	NA	NA	NA	MDD	split from N. leucodon in 2023
Nannospalax_turcicus	Nannospalax leucodon	NA	NA	NA	MDD	split from N. leucodon in 2023
Neodon_bershulaensis	NA	NA	NA	NA	MDD	newly described in 2022; not clear which species it was previously confused with but likely Neodon clarkei or Neodon irene
Neodon_chayuensis	NA	NA	NA	NA	MDD	newly described in 2022; not clear which species it was previously confused with
Neodon_liaoruii	NA	NA	NA	NA	MDD	newly described in 2022; not clear which species it was previously confused with
Neodon_namchabarwaensis	NA	NA	NA	NA	MDD	newly described in 2022; not clear which species it was previously confused with
Neodon_shergylaensis	NA	NA	NA	NA	MDD	newly described in 2022; not clear which species it was previously confused with
Neoeptesicus_brasiliensis	Eptesicus brasiliensis	NA	NA	NA	MDD	moved from Eptesicus to the recently described Neoeptesicus in 2023
Neoeptesicus_chiriquinus	Eptesicus chiriquinus	NA	NA	NA	MDD	moved from Eptesicus to the recently described Neoeptesicus in 2023
Neoeptesicus_diminutus	Eptesicus diminutus	NA	NA	NA	MDD	moved from Eptesicus to the recently described Neoeptesicus in 2023
Neoeptesicus_furinalis	Eptesicus furinalis	NA	NA	NA	MDD	moved from Eptesicus to the recently described Neoeptesicus in 2023
Neoeptesicus_ulapesensis	Eptesicus ulapesensis	NA	NA	NA	MDD	moved from Eptesicus to the recently described Neoeptesicus in 2023
Neogale_vison	Mustela vison	NA	NA	NA	MDD	moved to Mustela from Neovison, then to Neogale
Neotoma_isthmica	Neotoma ferruginea	NA	NA	NA	MDD	MDD: a subspecies of ferruginea
Ochotona_himalayana	Ochotona roylii	NA	NA	NA	MDD	MDD: roylii includes himalayana, although it may still be a distinct species
Ochotona_muliensis	Ochotona erythrotis	NA	NA	NA	MDD	erythrotis includes gloveri and muliensis
Ochromyscus_brockmani	Myomyscus brockmani	NA	NA	NA	MDD	brockmani moved from Myomyscus to the recently described Ochromyscus
Otolemur_monteiri	Otolemur crassicaudatus	NA	NA	NA	MDD	crassicaudatus includes monteiri
Otomys_maximus	Otomys angoniensis	NA	NA	NA	MDD	angoniensis includes maximus
Prionailurus_iriomotensis	Prionailurus bengalensis	NA	NA	NA	MDD	includes iriomotensis
Parasciurus_arizonensis	Sciurus arizonensis	NA	NA	NA	MDD	MDD: under a new proposed taxonomic arrangement for Sciurini, S. arizonensis (along with S. niger, S. nayaritensis, S. alleni, and S. oculatus) would be moved to the genus Parasciurus; this arrangement is tentatively not followed here pending further investigation
Parasciurus_nayaritensis	Sciurus nayaritensis	NA	NA	NA	MDD	MDD: under a new proposed taxonomic arrangement for Sciurini, S. arizonensis (along with S. niger, S. nayaritensis, S. alleni, and S. oculatus) would be moved to the genus Parasciurus; this arrangement is tentatively not followed here pending further investigation
Spalax_carmeli	Nannospalax ehrenbergi	NA	NA	NA	MDD	moved to Nannospalax from Spalax; includes carmeli, galili, golani, and judaei
Stenocranius_gregalis	Lasiopodomys gregalis	NA	NA	NA	MDD	MDD: moved from Microtus to either Lasiopodomys or Stenocranius; we include the species under Stenocranius following the most recent revision; current version of MOL uses Lasiopodomys
Stenocranius_raddei	Lasiopodomys raddei	NA	NA	NA	MDD	MDD: moved from Microtus to either Lasiopodomys or Stenocranius; we include the species under Stenocranius following the most recent revision; current version of MOL uses Lasiopodomys
Passalites_nemorivagus	Mazama nemorivaga	NA	NA	NA	MDD	moved from Mazama to Passalites in 2023; MOL uses Mazama and spells ending in a
Planigale_kendricki	NA	NA	NA	NA	MDD	newly described; previously confused as one of 2 species
Plecotus_gobiensis	NA	NA	NA	NA	MDD	newly described
Subulo_gouazoubira	Mazama gouazoubira	NA	NA	NA	MDD	moved from Mazama to Subulo; previously included M. nemorivaga; MOL still uses Mazama
Tupaia_moellendorffi	Tupaia palawanensis	NA	NA	NA	MDD	includes moellendorffi
Trachops_coffini	Trachops cirrhosus	NA	NA	NA	MDD	split from T. cirrhosus
Thainycteris_torquata	Thainycteris torquatus	NA	NA	NA	MDD	MOL spells it with 'us' ending
Suncus_madagascariensis	Suncus etruscus	NA	NA	NA	MDD	etruscus includes madagascariensis
Styloctenium_mindorense	Styloctenium mindorensis	NA	NA	NA	MDD	MDD: recently described; specific epithet is usually spelt 'mindorensis', but the name is an adjective and must match the generic gender, in which case the spelling is 'mindorense'; MOL uses mindorensis
Xanthonycticebus_pygmaeus	Nycticebus pygmaeus	NA	NA	NA	MDD	MDD: previously included X. intermediusmoved from Nycticebus to the recently described Xanthonycticebus
Vernaya_nushanensis	Vernaya fulva	NA	NA	NA	MDD	nushanensis described in 2023; previously referred to as V fulva which is the only species recognized by MOL
Vernaya_meiguites	Vernaya fulva	NA	NA	NA	MDD	meiguites described in 2023; previously referred to as V fulva which is the only species recognized by MOL
Tursiops_australis	Tursiops aduncus	NA	NA	NA	MDD	includes australis, which was recently described as a distinct species, although there is some disagreement regarding whether australis is separate or not
Stenonycteris_lanosa	Stenonycteris lanosus	NA	NA	NA	MDD	MDD lists 'a' and 'us' endings as synonyms 
Soriculus_beibengensis	Soriculus nigrescens	NA	NA	NA	MDD	recently described (2024) and previously confused with nigrescens
Simosciurus_stramineus	Sciurus stramineus	NA	NA	NA	MDD	MDD: under a new proposed taxonomic arrangement for Sciurini, S. stramineus (along with nebouxii, which is not yet recognized here pending further investigation) would be moved to the genus Simosciurus; this arrangement is tentatively not followed here pending further investigation
Simosciurus_nebouxii	Sciurus stramineus	NA	NA	NA	MDD	MDD: split from S. stramineus; under a new proposed taxonomic arrangement for Sciurini, S. nebouxii (along with S. stramineus) would be moved to the genus Simosciurus; this arrangement is tentatively not followed here pending further investigation
Serengetimys_pernanus	Mastomys pernanus	NA	NA	NA	MDD	MDD: moved from Mastomys to the recently described Serengetimys
