"uid","full_sci_name","match_type","BB_Accepted","BB_Accepted2","BB_Accepted3","BB_Accepted4","class","fuzzy_score"
"Microsciurus_mimulus","Microsciurus mimulus","1 - exact_fullsci_w_ssp","Microsciurus mimulus",NA,NA,NA,"Mammalia",NA
"Microsciurus_santanderensis","Microsciurus santanderensis","1 - exact_fullsci_w_ssp","Microsciurus santanderensis",NA,NA,NA,"Mammalia",NA
"Microtus_abbreviatus","Microtus abbreviatus","1 - exact_fullsci_w_ssp","Microtus abbreviatus",NA,NA,NA,"Mammalia",NA
"Microtus_agrestis","Microtus agrestis","1 - exact_fullsci_w_ssp","Microtus agrestis",NA,NA,NA,"Mammalia",NA
"Microtus_anatolicus","Microtus anatolicus","1 - exact_fullsci_w_ssp","Microtus anatolicus",NA,NA,NA,"Mammalia",NA
"Microtus_arvalis","Microtus arvalis","1 - exact_fullsci_w_ssp","Microtus arvalis",NA,NA,NA,"Mammalia",NA
"Microtus_brachycercus","Microtus brachycercus","1 - exact_fullsci_w_ssp","Microtus brachycercus",NA,NA,NA,"Mammalia",NA
"Microtus_cabrerae","Microtus cabrerae","1 - exact_fullsci_w_ssp","Microtus cabrerae",NA,NA,NA,"Mammalia",NA
"Microtus_californicus","Microtus californicus","1 - exact_fullsci_w_ssp","Microtus californicus",NA,NA,NA,"Mammalia",NA
"Microtus_canicaudus","Microtus canicaudus","1 - exact_fullsci_w_ssp","Microtus canicaudus",NA,NA,NA,"Mammalia",NA
"Microtus_chrotorrhinus","Microtus chrotorrhinus","1 - exact_fullsci_w_ssp","Microtus chrotorrhinus",NA,NA,NA,"Mammalia",NA
"Microtus_daghestanicus","Microtus daghestanicus","1 - exact_fullsci_w_ssp","Microtus daghestanicus",NA,NA,NA,"Mammalia",NA
"Microtus_dogramacii","Microtus dogramacii","1 - exact_fullsci_w_ssp","Microtus dogramacii",NA,NA,NA,"Mammalia",NA
"Microtus_duodecimcostatus","Microtus duodecimcostatus","1 - exact_fullsci_w_ssp","Microtus duodecimcostatus",NA,NA,NA,"Mammalia",NA
"Microtus_felteni","Microtus felteni","1 - exact_fullsci_w_ssp","Microtus felteni",NA,NA,NA,"Mammalia",NA
"Microtus_guatemalensis","Microtus guatemalensis","1 - exact_fullsci_w_ssp","Microtus guatemalensis",NA,NA,NA,"Mammalia",NA
"Microtus_guentheri","Microtus guentheri","1 - exact_fullsci_w_ssp","Microtus guentheri",NA,NA,NA,"Mammalia",NA
"Microtus_ilaeus","Microtus ilaeus","1 - exact_fullsci_w_ssp","Microtus ilaeus",NA,NA,NA,"Mammalia",NA
"Microtus_irani","Microtus irani","1 - exact_fullsci_w_ssp","Microtus irani",NA,NA,NA,"Mammalia",NA
"Microtus_liechtensteini","Microtus liechtensteini","1 - exact_fullsci_w_ssp","Microtus liechtensteini",NA,NA,NA,"Mammalia",NA
"Microtus_longicaudus","Microtus longicaudus","1 - exact_fullsci_w_ssp","Microtus longicaudus",NA,NA,NA,"Mammalia",NA
"Microtus_lusitanicus","Microtus lusitanicus","1 - exact_fullsci_w_ssp","Microtus lusitanicus",NA,NA,NA,"Mammalia",NA
"Microtus_majori","Microtus majori","1 - exact_fullsci_w_ssp","Microtus majori",NA,NA,NA,"Mammalia",NA
"Microtus_mexicanus","Microtus mexicanus","1 - exact_fullsci_w_ssp","Microtus mexicanus",NA,NA,NA,"Mammalia",NA
"Microtus_miurus","Microtus miurus","1 - exact_fullsci_w_ssp","Microtus miurus",NA,NA,NA,"Mammalia",NA
"Microtus_montanus","Microtus montanus","1 - exact_fullsci_w_ssp","Microtus montanus",NA,NA,NA,"Mammalia",NA
"Microtus_multiplex","Microtus multiplex","1 - exact_fullsci_w_ssp","Microtus multiplex",NA,NA,NA,"Mammalia",NA
"Microtus_oaxacensis","Microtus oaxacensis","1 - exact_fullsci_w_ssp","Microtus oaxacensis",NA,NA,NA,"Mammalia",NA
"Microtus_ochrogaster","Microtus ochrogaster","1 - exact_fullsci_w_ssp","Microtus ochrogaster",NA,NA,NA,"Mammalia",NA
"Microtus_oregoni","Microtus oregoni","1 - exact_fullsci_w_ssp","Microtus oregoni",NA,NA,NA,"Mammalia",NA
"Microtus_paradoxus","Microtus paradoxus","1 - exact_fullsci_w_ssp","Microtus paradoxus",NA,NA,NA,"Mammalia",NA
"Microtus_pinetorum","Microtus pinetorum","1 - exact_fullsci_w_ssp","Microtus pinetorum",NA,NA,NA,"Mammalia",NA
"Microtus_qazvinensis","Microtus qazvinensis","1 - exact_fullsci_w_ssp","Microtus qazvinensis",NA,NA,NA,"Mammalia",NA
"Microtus_quasiater","Microtus quasiater","1 - exact_fullsci_w_ssp","Microtus quasiater",NA,NA,NA,"Mammalia",NA
"Microtus_richardsoni","Microtus richardsoni","1 - exact_fullsci_w_ssp","Microtus richardsoni",NA,NA,NA,"Mammalia",NA
"Microtus_savii","Microtus savii","1 - exact_fullsci_w_ssp","Microtus savii",NA,NA,NA,"Mammalia",NA
"Microtus_schelkovnikovi","Microtus schelkovnikovi","1 - exact_fullsci_w_ssp","Microtus schelkovnikovi",NA,NA,NA,"Mammalia",NA
"Microtus_socialis","Microtus socialis","1 - exact_fullsci_w_ssp","Microtus socialis",NA,NA,NA,"Mammalia",NA
"Microtus_subterraneus","Microtus subterraneus","1 - exact_fullsci_w_ssp","Microtus subterraneus",NA,NA,NA,"Mammalia",NA
"Microtus_tatricus","Microtus tatricus","1 - exact_fullsci_w_ssp","Microtus tatricus",NA,NA,NA,"Mammalia",NA
"Microtus_thomasi","Microtus thomasi","1 - exact_fullsci_w_ssp","Microtus thomasi",NA,NA,NA,"Mammalia",NA
"Microtus_townsendii","Microtus townsendii","1 - exact_fullsci_w_ssp","Microtus townsendii",NA,NA,NA,"Mammalia",NA
"Microtus_transcaspicus","Microtus transcaspicus","1 - exact_fullsci_w_ssp","Microtus transcaspicus",NA,NA,NA,"Mammalia",NA
"Microtus_umbrosus","Microtus umbrosus","1 - exact_fullsci_w_ssp","Microtus umbrosus",NA,NA,NA,"Mammalia",NA
"Microtus_xanthognathus","Microtus xanthognathus","1 - exact_fullsci_w_ssp","Microtus xanthognathus",NA,NA,NA,"Mammalia",NA
"Millardia_gleadowi","Millardia gleadowi","1 - exact_fullsci_w_ssp","Millardia gleadowi",NA,NA,NA,"Mammalia",NA
"Millardia_kathleenae","Millardia kathleenae","1 - exact_fullsci_w_ssp","Millardia kathleenae",NA,NA,NA,"Mammalia",NA
"Millardia_kondana","Millardia kondana","1 - exact_fullsci_w_ssp","Millardia kondana",NA,NA,NA,"Mammalia",NA
"Millardia_meltada","Millardia meltada","1 - exact_fullsci_w_ssp","Millardia meltada",NA,NA,NA,"Mammalia",NA
"Mimetillus_moloneyi","Mimetillus moloneyi","1 - exact_fullsci_w_ssp","Mimetillus moloneyi",NA,NA,NA,"Mammalia",NA
"Mimon_bennettii","Mimon bennettii","1 - exact_fullsci_w_ssp","Mimon bennettii",NA,NA,NA,"Mammalia",NA
"Mimon_cozumelae","Mimon cozumelae","1 - exact_fullsci_w_ssp","Mimon cozumelae",NA,NA,NA,"Mammalia",NA
"Mindomys_hammondi","Mindomys hammondi","1 - exact_fullsci_w_ssp","Mindomys hammondi",NA,NA,NA,"Mammalia",NA
"Miniopterus_aelleni","Miniopterus aelleni","1 - exact_fullsci_w_ssp","Miniopterus aelleni",NA,NA,NA,"Mammalia",NA
"Miniopterus_ambohitrensis","Miniopterus ambohitrensis","1 - exact_fullsci_w_ssp","Miniopterus ambohitrensis",NA,NA,NA,"Mammalia",NA
"Miniopterus_australis","Miniopterus australis","1 - exact_fullsci_w_ssp","Miniopterus australis",NA,NA,NA,"Mammalia",NA
"Miniopterus_brachytragos","Miniopterus brachytragos","1 - exact_fullsci_w_ssp","Miniopterus brachytragos",NA,NA,NA,"Mammalia",NA
"Miniopterus_egeri","Miniopterus egeri","1 - exact_fullsci_w_ssp","Miniopterus egeri",NA,NA,NA,"Mammalia",NA
"Miniopterus_fraterculus","Miniopterus fraterculus","1 - exact_fullsci_w_ssp","Miniopterus fraterculus",NA,NA,NA,"Mammalia",NA
"Miniopterus_fuliginosus","Miniopterus fuliginosus","1 - exact_fullsci_w_ssp","Miniopterus fuliginosus",NA,NA,NA,"Mammalia",NA
"Miniopterus_fuscus","Miniopterus fuscus","1 - exact_fullsci_w_ssp","Miniopterus fuscus",NA,NA,NA,"Mammalia",NA
"Miniopterus_gleni","Miniopterus gleni","1 - exact_fullsci_w_ssp","Miniopterus gleni",NA,NA,NA,"Mammalia",NA
"Miniopterus_griffithsi","Miniopterus griffithsi","1 - exact_fullsci_w_ssp","Miniopterus griffithsi",NA,NA,NA,"Mammalia",NA
"Miniopterus_griveaudi","Miniopterus griveaudi","1 - exact_fullsci_w_ssp","Miniopterus griveaudi",NA,NA,NA,"Mammalia",NA
"Miniopterus_inflatus","Miniopterus inflatus","1 - exact_fullsci_w_ssp","Miniopterus inflatus",NA,NA,NA,"Mammalia",NA
"Miniopterus_macrocneme","Miniopterus macrocneme","1 - exact_fullsci_w_ssp","Miniopterus macrocneme",NA,NA,NA,"Mammalia",NA
"Miniopterus_maghrebensis","Miniopterus maghrebensis","1 - exact_fullsci_w_ssp","Miniopterus maghrebensis",NA,NA,NA,"Mammalia",NA
"Miniopterus_magnater","Miniopterus magnater","1 - exact_fullsci_w_ssp","Miniopterus magnater",NA,NA,NA,"Mammalia",NA
"Miniopterus_mahafaliensis","Miniopterus mahafaliensis","1 - exact_fullsci_w_ssp","Miniopterus mahafaliensis",NA,NA,NA,"Mammalia",NA
"Miniopterus_majori","Miniopterus majori","1 - exact_fullsci_w_ssp","Miniopterus majori",NA,NA,NA,"Mammalia",NA
"Miniopterus_manavi","Miniopterus manavi","1 - exact_fullsci_w_ssp","Miniopterus manavi",NA,NA,NA,"Mammalia",NA
"Miniopterus_medius","Miniopterus medius","1 - exact_fullsci_w_ssp","Miniopterus medius",NA,NA,NA,"Mammalia",NA
"Miniopterus_minor","Miniopterus minor","1 - exact_fullsci_w_ssp","Miniopterus minor",NA,NA,NA,"Mammalia",NA
"Miniopterus_mossambicus","Miniopterus mossambicus","1 - exact_fullsci_w_ssp","Miniopterus mossambicus",NA,NA,NA,"Mammalia",NA
"Miniopterus_natalensis","Miniopterus natalensis","1 - exact_fullsci_w_ssp","Miniopterus natalensis",NA,NA,NA,"Mammalia",NA
"Miniopterus_newtoni","Miniopterus newtoni","1 - exact_fullsci_w_ssp","Miniopterus newtoni",NA,NA,NA,"Mammalia",NA
"Miniopterus_paululus","Miniopterus paululus","1 - exact_fullsci_w_ssp","Miniopterus paululus",NA,NA,NA,"Mammalia",NA
"Miniopterus_petersoni","Miniopterus petersoni","1 - exact_fullsci_w_ssp","Miniopterus petersoni",NA,NA,NA,"Mammalia",NA
"Miniopterus_pusillus","Miniopterus pusillus","1 - exact_fullsci_w_ssp","Miniopterus pusillus",NA,NA,NA,"Mammalia",NA
"Miniopterus_robustior","Miniopterus robustior","1 - exact_fullsci_w_ssp","Miniopterus robustior",NA,NA,NA,"Mammalia",NA
"Miniopterus_schreibersii","Miniopterus schreibersii","1 - exact_fullsci_w_ssp","Miniopterus schreibersii",NA,NA,NA,"Mammalia",NA
"Miniopterus_shortridgei","Miniopterus shortridgei","1 - exact_fullsci_w_ssp","Miniopterus shortridgei",NA,NA,NA,"Mammalia",NA
"Miniopterus_sororculus","Miniopterus sororculus","1 - exact_fullsci_w_ssp","Miniopterus sororculus",NA,NA,NA,"Mammalia",NA
"Miniopterus_tristis","Miniopterus tristis","1 - exact_fullsci_w_ssp","Miniopterus tristis",NA,NA,NA,"Mammalia",NA
"Miopithecus_ogouensis","Miopithecus ogouensis","1 - exact_fullsci_w_ssp","Miopithecus ogouensis",NA,NA,NA,"Mammalia",NA
"Miopithecus_talapoin","Miopithecus talapoin","1 - exact_fullsci_w_ssp","Miopithecus talapoin",NA,NA,NA,"Mammalia",NA
"Mirimiri_acrodonta","Mirimiri acrodonta","1 - exact_fullsci_w_ssp","Mirimiri acrodonta",NA,NA,NA,"Mammalia",NA
"Mirounga_angustirostris","Mirounga angustirostris","1 - exact_fullsci_w_ssp","Mirounga angustirostris",NA,NA,NA,"Mammalia",NA
"Mirounga_leonina","Mirounga leonina","1 - exact_fullsci_w_ssp","Mirounga leonina",NA,NA,NA,"Mammalia",NA
"Mirza_coquereli","Mirza coquereli","1 - exact_fullsci_w_ssp","Mirza coquereli",NA,NA,NA,"Mammalia",NA
"Mirza_zaza","Mirza zaza","1 - exact_fullsci_w_ssp","Mirza zaza",NA,NA,NA,"Mammalia",NA
"Mirzamys_louiseae","Mirzamys louiseae","1 - exact_fullsci_w_ssp","Mirzamys louiseae",NA,NA,NA,"Mammalia",NA
"Mirzamys_norahae","Mirzamys norahae","1 - exact_fullsci_w_ssp","Mirzamys norahae",NA,NA,NA,"Mammalia",NA
"Mogera_etigo","Mogera etigo","1 - exact_fullsci_w_ssp","Mogera etigo",NA,NA,NA,"Mammalia",NA
"Mogera_imaizumii","Mogera imaizumii","1 - exact_fullsci_w_ssp","Mogera imaizumii",NA,NA,NA,"Mammalia",NA
"Mogera_insularis","Mogera insularis","1 - exact_fullsci_w_ssp","Mogera insularis",NA,NA,NA,"Mammalia",NA
"Mogera_kanoana","Mogera kanoana","1 - exact_fullsci_w_ssp","Mogera kanoana",NA,NA,NA,"Mammalia",NA
"Mogera_robusta","Mogera robusta","1 - exact_fullsci_w_ssp","Mogera robusta",NA,NA,NA,"Mammalia",NA
"Mogera_tokudae","Mogera tokudae","1 - exact_fullsci_w_ssp","Mogera tokudae",NA,NA,NA,"Mammalia",NA
"Mogera_uchidai","Mogera uchidai","1 - exact_fullsci_w_ssp","Mogera uchidai",NA,NA,NA,"Mammalia",NA
