"Accepted","Synonym"
"Akodon_dayi","Akodon_dayi"
"Akodon_dolores","Akodon_dolores"
"Akodon_fumeus","Akodon_fumeus"
"Akodon_iniscatus","Akodon_iniscatus"
"Akodon_josemariarguedasi","Akodon_josemariarguedasi"
"Akodon_juninensis","Akodon_juninensis"
"Akodon_kofordi","Akodon_kofordi"
"Akodon_lindberghi","Akodon_lindberghi"
"Akodon_lutescens","Akodon_lutescens"
"Akodon_lutescens","Akodon_coenosus"
"Akodon_lutescens","Akodon_puer"
"Akodon_mimus","Akodon_mimus"
"Akodon_mimus","?_mimus"
"Akodon_mimus","Microxus_mimus"
"Akodon_mollis","Akodon_mollis"
"Akodon_montensis","Akodon_montensis"
"Akodon_mystax","Akodon_mystax"
"Akodon_oenos","Akodon_spegazzinii"
"Akodon_orophilus","Akodon_orophilus"
"Akodon_paranaensis","Akodon_paranaensis"
"Akodon_pervalens","Akodon_pervalens"
"Akodon_philipmyersi","Akodon_philipmyersi"
"Akodon_polopi","Akodon_polopi"
"Akodon_reigi","Akodon_reigi"
"Akodon_sanctipaulensis","Akodon_sanctipaulensis"
"Akodon_siberiae","Akodon_siberiae"
"Akodon_simulator","Akodon_simulator"
"Akodon_spegazzinii","Akodon_spegazzinii"
"Akodon_spegazzinii","Akodon_leucolimnaeus"
"Akodon_spegazzinii","Akodon_oenos"
"Akodon_subfuscus","Akodon_subfuscus"
"Akodon_surdus","Akodon_surdus"
"Akodon_sylvanus","Akodon_sylvanus"
"Akodon_toba","Akodon_toba"
"Akodon_torques","Akodon_torques"
"Akodon_torques","Microxus_torques"
"Akodon_varius","Akodon_varius"
"Alcelaphus_buselaphus","Alcelaphus_buselaphus"
"Alcelaphus_buselaphus","Antilope_buselaphus"
"Alces_alces","Alces_alces"
"Alces_alces","Alces_alce"
"Alces_alces","Alces_antiquorum"
"Alces_alces","Alces_coronatus"
"Alces_alces","Alces_europaeus"
"Alces_alces","Alces_jubata"
"Alces_alces","Alces_machilis"
"Alces_alces","Alces_muswa"
"Alces_alces","Alces_palmatus"
"Alces_alces","Alces_runnymedensis"
"Alces_alces","Cervalces_americanus"
"Alces_alces","Cervus_alces"
"Alionycteris_paucidentata","Alionycteris_paucidentata"
"Allactaga_major","Allactaga_major"
"Allactaga_major","Allactaga_jaculus"
"Allactaga_major","Allactaga_saliens"
"Allactaga_major","Dipus_aulacotis"
"Allactaga_major","Dipus_decumanus"
"Allactaga_major","Dipus_major"
"Allactaga_major","Dipus_spiculum"
"Allactaga_major","Dipus_vexillarius"
"Allactaga_major","Mus_jaculus"
"Allactaga_major","Scarturus_aulacotis"
"Allactaga_severtzovi","Allactaga_severtzovi"
"Allactaga_severtzovi","Alactaga_severtzovi"
"Allactodipus_bobrinskii","Allactodipus_bobrinskii"
"Allactodipus_bobrinskii","Allactaga_bobrinskii"
"Allenopithecus_nigroviridis","Allenopithecus_nigroviridis"
"Allenopithecus_nigroviridis","Cercopithecus_nigroviridis"
"Allocebus_trichotis","Allocebus_trichotis"
"Allocebus_trichotis","Cheirogaleus_trichotis"
"Allocebus_trichotis","Chirogaleus_trichotis"
"Allocricetulus_curtatus","Allocricetulus_curtatus"
"Allocricetulus_eversmanni","Allocricetulus_eversmanni"
"Allocricetulus_eversmanni","Cricetulus_beljawi"
"Allocricetulus_eversmanni","Cricetulus_eversmanni"
"Allocricetulus_eversmanni","Mesocricetus_microdon"
"Alouatta_arctoidea","Alouatta_arctoidea"
"Alouatta_arctoidea","Alouatta_seniculus"
"Alouatta_arctoidea","Simia_ursinus"
"Alouatta_belzebul","Alouatta_belzebul"
"Alouatta_belzebul","Mycetes_belzebul"
"Alouatta_belzebul","Mycetes_flavimanus"
"Alouatta_belzebul","Mycetes_rufimanus"
"Alouatta_belzebul","Simia_beelzebub"
"Alouatta_belzebul","Simia_belzebul"
"Alouatta_caraya","Alouatta_caraya"
"Alouatta_caraya","Mycetes_barbatus"
"Alouatta_caraya","Simia_caraya"
"Alouatta_caraya","Simia_straminea"
"Alouatta_caraya","Stentor_niger"
"Alouatta_discolor","Alouatta_discolor"
"Alouatta_discolor","Mycetes_discolor"
"Alouatta_guariba","Alouatta_guariba"
"Alouatta_guariba","Simia_guariba"
"Alouatta_guariba","Stentor_guariba"
"Alouatta_macconnelli","Alouatta_macconnelli"
"Alouatta_macconnelli","Alouatta_seniculus"
"Alouatta_nigerrima","Alouatta_nigerrima"
"Alouatta_nigerrima","Mycetes_caraya"
"Alouatta_nigerrima","Mycetes_villosus"
"Alouatta_palliata","Alouatta_palliata"
"Alouatta_palliata","Alouatta_aequatorialis"
"Alouatta_palliata","Alouatta_inclamax"
"Alouatta_palliata","Mycetes_niger"
"Alouatta_palliata","Mycetes_palliatus"
"Alouatta_pigra","Alouatta_pigra"
"Alouatta_pigra","Alouatta_palliata"
"Alouatta_pigra","Mycetes_villosus"
"Alouatta_sara","Alouatta_sara"
"Alouatta_sara","Alouatta_seniculus"
"Alouatta_seniculus","Alouatta_seniculus"
"Alouatta_seniculus","Alouatta_macconnelli"
"Alouatta_seniculus","Mycetes_seniculus"
"Alouatta_seniculus","Simia_seniculus"
"Alouatta_ululata","Alouatta_ululata"
"Alouatta_ululata","Alouatta_belzebul"
"Alticola_argentatus","Alticola_argentatus"
"Alticola_argentatus","Alticola_argentata"
"Alticola_argentatus","Alticola_blanfordi"
"Alticola_argentatus","Alticola_gracilis"
"Alticola_argentatus","Alticola_longicauda"
"Alticola_argentatus","Alticola_phasma"
"Alticola_argentatus","Alticola_villosa"
"Alticola_argentatus","Alticola_worthingtoni"
"Alticola_argentatus","Arvicola_blanfordi"
"Alticola_argentatus","Arvicola_severtzovi"
"Alticola_argentatus","Microtus_argurus"
"Alticola_barakshin","Alticola_barakshin"
"Alticola_lemminus","Alticola_lemminus"
"Alticola_lemminus","Aschizomys_lemminus"
"Alticola_lemminus","Eothenomys_lemminus"
"Alticola_macrotis","Alticola_macrotis"
"Alticola_macrotis","Alticola_altaica"
"Alticola_macrotis","Alticola_fetisovi"
"Alticola_macrotis","Alticola_vinogradovi"
"Alticola_olchonensis","Alticola_olchonensis"
"Alticola_olchonensis","Alticola_baicalensis"
"Alticola_roylei","Alticola_roylei"
"Alticola_semicanus","Alticola_semicanus"
"Alticola_semicanus","Alticola_alleni"
"Alticola_stoliczkanus","Alticola_stoliczkanus"
"Alticola_stoliczkanus","Alticola_stracheyi"
"Alticola_stoliczkanus","Arvicola_stracheyi"
"Alticola_stoliczkanus","Microtus_acrophilus"
"Alticola_stoliczkanus","Microtus_cricetulus"
"Alticola_stoliczkanus","Microtus_lama"
"Alticola_stoliczkanus","Microtus_nanschanicus"
"Alticola_tuvinicus","Alticola_tuvinicus"
"Alticola_tuvinicus","Alticola_khubsugulensis"
"Alticola_tuvinicus","Alticola_kosogol"
"Amblysomus_corriae","Amblysomus_corriae"
"Amblysomus_hottentotus","Amblysomus_hottentotus"
"Amblysomus_marleyi","Amblysomus_marleyi"
"Amblysomus_robustus","Amblysomus_robustus"
"Amblysomus_septentrionalis","Amblysomus_septentrionalis"
"Ametrida_centurio","Ametrida_centurio"
"Ammodillus_imbellis","Ammodillus_imbellis"
"Ammodorcas_clarkei","Ammodorcas_clarkei"
"Ammospermophilus_harrisii","Ammospermophilus_harrisii"
