"uid","full_sci_name","match_type","BB_Accepted","BB_Accepted2","BB_Accepted3","BB_Accepted4","p","c","o","f","fuzzy_score"
"Hyperacrius_fertilis","Hyperacrius fertilis","1 - exact_fullsci_w_ssp","Hyperacrius fertilis",NA,NA,NA,"Chordata","Mammalia","Rodentia","Cricetidae",NA
"Hyperoodon_ampullatus","Hyperoodon ampullatus","1 - exact_fullsci_w_ssp","Hyperoodon ampullatus",NA,NA,NA,"Chordata","Mammalia","Artiodactyla","Ziphiidae",NA
"Hypsignathus_monstrosus","Hypsignathus monstrosus","1 - exact_fullsci_w_ssp","Hypsignathus monstrosus",NA,NA,NA,"Chordata","Mammalia","Chiroptera","Pteropodidae",NA
"Hypsiprymnodon_moschatus","Hypsiprymnodon moschatus","1 - exact_fullsci_w_ssp","Hypsiprymnodon moschatus",NA,NA,NA,"Chordata","Mammalia","Diprotodontia","Potoroidae",NA
"Hypsugo_alaschanicus","Hypsugo alaschanicus","1 - exact_fullsci_w_ssp","Hypsugo alaschanicus",NA,NA,NA,"Chordata","Mammalia","Chiroptera","Vespertilionidae",NA
"Hypsugo_ariel","Hypsugo ariel","1 - exact_fullsci_w_ssp","Hypsugo ariel",NA,NA,NA,"Chordata","Mammalia","Chiroptera","Vespertilionidae",NA
"Hypsugo_cadornae","Hypsugo cadornae","1 - exact_fullsci_w_ssp","Hypsugo cadornae",NA,NA,NA,"Chordata","Mammalia","Chiroptera","Vespertilionidae",NA
"Hypsugo_petersi","Hypsugo petersi","1 - exact_fullsci_w_ssp","Hypsugo petersi",NA,NA,NA,"Chordata","Mammalia","Chiroptera","Vespertilionidae",NA
"Hypsugo_savii","Hypsugo savii","1 - exact_fullsci_w_ssp","Hypsugo savii",NA,NA,NA,"Chordata","Mammalia","Chiroptera","Vespertilionidae",NA
"Hystrix_africaeaustralis","Hystrix africaeaustralis","1 - exact_fullsci_w_ssp","Hystrix africaeaustralis",NA,NA,NA,"Chordata","Mammalia","Rodentia","Hystricidae",NA
"Hystrix_brachyura","Hystrix brachyura","1 - exact_fullsci_w_ssp","Hystrix brachyura",NA,NA,NA,"Chordata","Mammalia","Rodentia","Hystricidae",NA
"Hystrix_cristata","Hystrix cristata","1 - exact_fullsci_w_ssp","Hystrix cristata",NA,NA,NA,"Chordata","Mammalia","Rodentia","Hystricidae",NA
"Hystrix_indica","Hystrix indica","1 - exact_fullsci_w_ssp","Hystrix indica",NA,NA,NA,"Chordata","Mammalia","Rodentia","Hystricidae",NA
"Ia_io","Ia io","1 - exact_fullsci_w_ssp","Ia io",NA,NA,NA,"Chordata","Mammalia","Chiroptera","Vespertilionidae",NA
"Ichneumia_albicauda","Ichneumia albicauda","1 - exact_fullsci_w_ssp","Ichneumia albicauda",NA,NA,NA,"Chordata","Mammalia","Carnivora","Herpestidae",NA
"Ictidomys_parvidens","Ictidomys parvidens","1 - exact_fullsci_w_ssp","Ictidomys parvidens",NA,NA,NA,"Chordata","Mammalia","Rodentia","Sciuridae",NA
"Ictidomys_tridecemlineatus","Ictidomys tridecemlineatus","1 - exact_fullsci_w_ssp","Ictidomys tridecemlineatus",NA,NA,NA,"Chordata","Mammalia","Rodentia","Sciuridae",NA
"Ictonyx_libycus","Ictonyx libycus","1 - exact_fullsci_w_ssp","Ictonyx libycus",NA,NA,NA,"Chordata","Mammalia","Carnivora","Mustelidae",NA
"Ictonyx_striatus","Ictonyx striatus","1 - exact_fullsci_w_ssp","Ictonyx striatus",NA,NA,NA,"Chordata","Mammalia","Carnivora","Mustelidae",NA
"Idionycteris_phyllotis","Idionycteris phyllotis","1 - exact_fullsci_w_ssp","Idionycteris phyllotis",NA,NA,NA,"Chordata","Mammalia","Chiroptera","Vespertilionidae",NA
"Idiurus_macrotis","Idiurus macrotis","1 - exact_fullsci_w_ssp","Idiurus macrotis",NA,NA,NA,"Chordata","Mammalia","Rodentia","Anomaluridae",NA
"Indopacetus_pacificus","Indopacetus pacificus","1 - exact_fullsci_w_ssp","Indopacetus pacificus",NA,NA,NA,"Chordata","Mammalia","Artiodactyla","Ziphiidae",NA
"Indri_indri","Indri indri","1 - exact_fullsci_w_ssp","Indri indri",NA,NA,NA,"Chordata","Mammalia","Primates","Indriidae",NA
"Inia_boliviensis","Inia boliviensis","1 - exact_fullsci_w_ssp","Inia boliviensis",NA,NA,NA,"Chordata","Mammalia","Artiodactyla","Iniidae",NA
"Inia_geoffrensis","Inia geoffrensis","1 - exact_fullsci_w_ssp","Inia geoffrensis",NA,NA,NA,"Chordata","Mammalia","Artiodactyla","Iniidae",NA
"Isoodon_auratus","Isoodon auratus","1 - exact_fullsci_w_ssp","Isoodon auratus",NA,NA,NA,"Chordata","Mammalia","Peramelemorphia","Peramelidae",NA
"Isoodon_fusciventer","Isoodon fusciventer","1 - exact_fullsci_w_ssp","Isoodon fusciventer",NA,NA,NA,"Chordata","Mammalia","Peramelemorphia","Peramelidae",NA
"Isoodon_macrourus","Isoodon macrourus","1 - exact_fullsci_w_ssp","Isoodon macrourus",NA,NA,NA,"Chordata","Mammalia","Peramelemorphia","Peramelidae",NA
"Isoodon_obesulus","Isoodon obesulus","1 - exact_fullsci_w_ssp","Isoodon obesulus",NA,NA,NA,"Chordata","Mammalia","Peramelemorphia","Peramelidae",NA
"Isoodon_peninsulae","Isoodon peninsulae","1 - exact_fullsci_w_ssp","Isoodon peninsulae",NA,NA,NA,"Chordata","Mammalia","Peramelemorphia","Peramelidae",NA
"Isothrix_barbarabrownae","Isothrix barbarabrownae","1 - exact_fullsci_w_ssp","Isothrix barbarabrownae",NA,NA,NA,"Chordata","Mammalia","Rodentia","Echimyidae",NA
"Isothrix_bistriata","Isothrix bistriata","1 - exact_fullsci_w_ssp","Isothrix bistriata",NA,NA,NA,"Chordata","Mammalia","Rodentia","Echimyidae",NA
"Isothrix_orinoci","Isothrix orinoci","1 - exact_fullsci_w_ssp","Isothrix orinoci",NA,NA,NA,"Chordata","Mammalia","Rodentia","Echimyidae",NA
"Isothrix_pagurus","Isothrix pagurus","1 - exact_fullsci_w_ssp","Isothrix pagurus",NA,NA,NA,"Chordata","Mammalia","Rodentia","Echimyidae",NA
"Isothrix_sinnamariensis","Isothrix sinnamariensis","1 - exact_fullsci_w_ssp","Isothrix sinnamariensis",NA,NA,NA,"Chordata","Mammalia","Rodentia","Echimyidae",NA
"Isthmomys_flavidus","Isthmomys flavidus","1 - exact_fullsci_w_ssp","Isthmomys flavidus",NA,NA,NA,"Chordata","Mammalia","Rodentia","Cricetidae",NA
"Isthmomys_pirrensis","Isthmomys pirrensis","1 - exact_fullsci_w_ssp","Isthmomys pirrensis",NA,NA,NA,"Chordata","Mammalia","Rodentia","Cricetidae",NA
"Jaculus_jaculus","Jaculus jaculus","1 - exact_fullsci_w_ssp","Jaculus jaculus",NA,NA,NA,"Chordata","Mammalia","Rodentia","Dipodidae",NA
"Kannabateomys_amblyonyx","Kannabateomys amblyonyx","1 - exact_fullsci_w_ssp","Kannabateomys amblyonyx",NA,NA,NA,"Chordata","Mammalia","Rodentia","Echimyidae",NA
"Kerivoula_hardwickii","Kerivoula hardwickii","1 - exact_fullsci_w_ssp","Kerivoula hardwickii",NA,NA,NA,"Chordata","Mammalia","Chiroptera","Vespertilionidae",NA
"Kerivoula_minuta","Kerivoula minuta","1 - exact_fullsci_w_ssp","Kerivoula minuta",NA,NA,NA,"Chordata","Mammalia","Chiroptera","Vespertilionidae",NA
"Kerivoula_papillosa","Kerivoula papillosa","1 - exact_fullsci_w_ssp","Kerivoula papillosa",NA,NA,NA,"Chordata","Mammalia","Chiroptera","Vespertilionidae",NA
"Kerivoula_pellucida","Kerivoula pellucida","1 - exact_fullsci_w_ssp","Kerivoula pellucida",NA,NA,NA,"Chordata","Mammalia","Chiroptera","Vespertilionidae",NA
"Kerivoula_titania","Kerivoula titania","1 - exact_fullsci_w_ssp","Kerivoula titania",NA,NA,NA,"Chordata","Mammalia","Chiroptera","Vespertilionidae",NA
"Kerodon_rupestris","Kerodon rupestris","1 - exact_fullsci_w_ssp","Kerodon rupestris",NA,NA,NA,"Chordata","Mammalia","Rodentia","Caviidae",NA
"Kobus_ellipsiprymnus","Kobus ellipsiprymnus","1 - exact_fullsci_w_ssp","Kobus ellipsiprymnus",NA,NA,NA,"Chordata","Mammalia","Artiodactyla","Bovidae",NA
"Kobus_kob","Kobus kob","1 - exact_fullsci_w_ssp","Kobus kob",NA,NA,NA,"Chordata","Mammalia","Artiodactyla","Bovidae",NA
"Kobus_leche","Kobus leche","1 - exact_fullsci_w_ssp","Kobus leche",NA,NA,NA,"Chordata","Mammalia","Artiodactyla","Bovidae",NA
"Kobus_megaceros","Kobus megaceros","1 - exact_fullsci_w_ssp","Kobus megaceros",NA,NA,NA,"Chordata","Mammalia","Artiodactyla","Bovidae",NA
"Kobus_vardonii","Kobus vardonii","1 - exact_fullsci_w_ssp","Kobus vardonii",NA,NA,NA,"Chordata","Mammalia","Artiodactyla","Bovidae",NA
"Kogia_breviceps","Kogia breviceps","1 - exact_fullsci_w_ssp","Kogia breviceps",NA,NA,NA,"Chordata","Mammalia","Artiodactyla","Physeteridae",NA
"Kogia_sima","Kogia sima","1 - exact_fullsci_w_ssp","Kogia sima",NA,NA,NA,"Chordata","Mammalia","Artiodactyla","Physeteridae",NA
"Laephotis_angolensis","Laephotis angolensis","1 - exact_fullsci_w_ssp","Laephotis angolensis",NA,NA,NA,"Chordata","Mammalia","Chiroptera","Vespertilionidae",NA
"Laephotis_capensis","Laephotis capensis","1 - exact_fullsci_w_ssp","Laephotis capensis",NA,NA,NA,"Chordata","Mammalia","Chiroptera","Vespertilionidae",NA
"Laephotis_malagasyensis","Laephotis malagasyensis","1 - exact_fullsci_w_ssp","Laephotis malagasyensis",NA,NA,NA,"Chordata","Mammalia","Chiroptera","Vespertilionidae",NA
"Laephotis_matroka","Laephotis matroka","1 - exact_fullsci_w_ssp","Laephotis matroka",NA,NA,NA,"Chordata","Mammalia","Chiroptera","Vespertilionidae",NA
"Laephotis_namibensis","Laephotis namibensis","1 - exact_fullsci_w_ssp","Laephotis namibensis",NA,NA,NA,"Chordata","Mammalia","Chiroptera","Vespertilionidae",NA
"Laephotis_robertsi","Laephotis robertsi","1 - exact_fullsci_w_ssp","Laephotis robertsi",NA,NA,NA,"Chordata","Mammalia","Chiroptera","Vespertilionidae",NA
"Laephotis_stanleyi","Laephotis stanleyi","1 - exact_fullsci_w_ssp","Laephotis stanleyi",NA,NA,NA,"Chordata","Mammalia","Chiroptera","Vespertilionidae",NA
"Lagenodelphis_hosei","Lagenodelphis hosei","1 - exact_fullsci_w_ssp","Lagenodelphis hosei",NA,NA,NA,"Chordata","Mammalia","Artiodactyla","Delphinidae",NA
"Lagenorhynchus_albirostris","Lagenorhynchus albirostris","1 - exact_fullsci_w_ssp","Lagenorhynchus albirostris",NA,NA,NA,"Chordata","Mammalia","Artiodactyla","Delphinidae",NA
"Lagorchestes_conspicillatus","Lagorchestes conspicillatus","1 - exact_fullsci_w_ssp","Lagorchestes conspicillatus",NA,NA,NA,"Chordata","Mammalia","Diprotodontia","Macropodidae",NA
"Lagorchestes_hirsutus","Lagorchestes hirsutus","1 - exact_fullsci_w_ssp","Lagorchestes hirsutus",NA,NA,NA,"Chordata","Mammalia","Diprotodontia","Macropodidae",NA
"Lagostrophus_fasciatus","Lagostrophus fasciatus","1 - exact_fullsci_w_ssp","Lagostrophus fasciatus",NA,NA,NA,"Chordata","Mammalia","Diprotodontia","Macropodidae",NA
"Lagurus_lagurus","Lagurus lagurus","1 - exact_fullsci_w_ssp","Lagurus lagurus",NA,NA,NA,"Chordata","Mammalia","Rodentia","Cricetidae",NA
"Lama_glama","Lama glama","1 - exact_fullsci_w_ssp","Lama glama",NA,NA,NA,"Chordata","Mammalia","Artiodactyla","Camelidae",NA
"Lama_guanicoe","Lama guanicoe","1 - exact_fullsci_w_ssp","Lama guanicoe",NA,NA,NA,"Chordata","Mammalia","Artiodactyla","Camelidae",NA
"Lamottemys_okuensis","Lamottemys okuensis","1 - exact_fullsci_w_ssp","Lamottemys okuensis",NA,NA,NA,"Chordata","Mammalia","Rodentia","Muridae",NA
"Laonastes_aenigmamus","Laonastes aenigmamus","1 - exact_fullsci_w_ssp","Laonastes aenigmamus",NA,NA,NA,"Chordata","Mammalia","Rodentia","Laonastidae",NA
"Lariscus_insignis","Lariscus insignis","1 - exact_fullsci_w_ssp","Lariscus insignis",NA,NA,NA,"Chordata","Mammalia","Rodentia","Sciuridae",NA
"Lariscus_obscurus","Lariscus obscurus","1 - exact_fullsci_w_ssp","Lariscus obscurus",NA,NA,NA,"Chordata","Mammalia","Rodentia","Sciuridae",NA
"Lasionycteris_noctivagans","Lasionycteris noctivagans","1 - exact_fullsci_w_ssp","Lasionycteris noctivagans",NA,NA,NA,"Chordata","Mammalia","Chiroptera","Vespertilionidae",NA
"Lasiopodomys_brandtii","Lasiopodomys brandtii","1 - exact_fullsci_w_ssp","Lasiopodomys brandtii",NA,NA,NA,"Chordata","Mammalia","Rodentia","Cricetidae",NA
"Lasiopodomys_mandarinus","Lasiopodomys mandarinus","1 - exact_fullsci_w_ssp","Lasiopodomys mandarinus",NA,NA,NA,"Chordata","Mammalia","Rodentia","Cricetidae",NA
"Lasiorhinus_krefftii","Lasiorhinus krefftii","1 - exact_fullsci_w_ssp","Lasiorhinus krefftii",NA,NA,NA,"Chordata","Mammalia","Diprotodontia","Vombatidae",NA
"Lasiorhinus_latifrons","Lasiorhinus latifrons","1 - exact_fullsci_w_ssp","Lasiorhinus latifrons",NA,NA,NA,"Chordata","Mammalia","Diprotodontia","Vombatidae",NA
"Lasiurus_atratus","Lasiurus atratus","1 - exact_fullsci_w_ssp","Lasiurus atratus",NA,NA,NA,"Chordata","Mammalia","Chiroptera","Vespertilionidae",NA
"Lasiurus_blossevillii","Lasiurus blossevillii","1 - exact_fullsci_w_ssp","Lasiurus blossevillii",NA,NA,NA,"Chordata","Mammalia","Chiroptera","Vespertilionidae",NA
"Lasiurus_borealis","Lasiurus borealis","1 - exact_fullsci_w_ssp","Lasiurus borealis",NA,NA,NA,"Chordata","Mammalia","Chiroptera","Vespertilionidae",NA
"Lasiurus_cinereus","Lasiurus cinereus","1 - exact_fullsci_w_ssp","Lasiurus cinereus",NA,NA,NA,"Chordata","Mammalia","Chiroptera","Vespertilionidae",NA
"Lasiurus_ega","Lasiurus ega","1 - exact_fullsci_w_ssp","Lasiurus ega",NA,NA,NA,"Chordata","Mammalia","Chiroptera","Vespertilionidae",NA
"Lasiurus_intermedius","Lasiurus intermedius","1 - exact_fullsci_w_ssp","Lasiurus intermedius",NA,NA,NA,"Chordata","Mammalia","Chiroptera","Vespertilionidae",NA
"Lasiurus_seminolus","Lasiurus seminolus","1 - exact_fullsci_w_ssp","Lasiurus seminolus",NA,NA,NA,"Chordata","Mammalia","Chiroptera","Vespertilionidae",NA
"Lasiurus_xanthinus","Lasiurus xanthinus","1 - exact_fullsci_w_ssp","Lasiurus xanthinus",NA,NA,NA,"Chordata","Mammalia","Chiroptera","Vespertilionidae",NA
"Latidens_salimalii","Latidens salimalii","1 - exact_fullsci_w_ssp","Latidens salimalii",NA,NA,NA,"Chordata","Mammalia","Chiroptera","Pteropodidae",NA
"Leggadina_lakedownensis","Leggadina lakedownensis","1 - exact_fullsci_w_ssp","Leggadina lakedownensis",NA,NA,NA,"Chordata","Mammalia","Rodentia","Muridae",NA
"Leimacomys_buettneri","Leimacomys buettneri","1 - exact_fullsci_w_ssp","Leimacomys buettneri",NA,NA,NA,"Chordata","Mammalia","Rodentia","Muridae",NA
"Lemmiscus_curtatus","Lemmiscus curtatus","1 - exact_fullsci_w_ssp","Lemmiscus curtatus",NA,NA,NA,"Chordata","Mammalia","Rodentia","Cricetidae",NA
"Lemmus_trimucronatus","Lemmus trimucronatus","1 - exact_fullsci_w_ssp","Lemmus trimucronatus",NA,NA,NA,"Chordata","Mammalia","Rodentia","Cricetidae",NA
"Lemniscomys_barbarus","Lemniscomys barbarus","1 - exact_fullsci_w_ssp","Lemniscomys barbarus",NA,NA,NA,"Chordata","Mammalia","Rodentia","Muridae",NA
"Lemniscomys_bellieri","Lemniscomys bellieri","1 - exact_fullsci_w_ssp","Lemniscomys bellieri",NA,NA,NA,"Chordata","Mammalia","Rodentia","Muridae",NA
"Lemniscomys_macculus","Lemniscomys macculus","1 - exact_fullsci_w_ssp","Lemniscomys macculus",NA,NA,NA,"Chordata","Mammalia","Rodentia","Muridae",NA
"Lemniscomys_rosalia","Lemniscomys rosalia","1 - exact_fullsci_w_ssp","Lemniscomys rosalia",NA,NA,NA,"Chordata","Mammalia","Rodentia","Muridae",NA
"Lemniscomys_striatus","Lemniscomys striatus","1 - exact_fullsci_w_ssp","Lemniscomys striatus",NA,NA,NA,"Chordata","Mammalia","Rodentia","Muridae",NA
"Lemniscomys_zebra","Lemniscomys zebra","1 - exact_fullsci_w_ssp","Lemniscomys zebra",NA,NA,NA,"Chordata","Mammalia","Rodentia","Muridae",NA
"Lemur_catta","Lemur catta","1 - exact_fullsci_w_ssp","Lemur catta",NA,NA,NA,"Chordata","Mammalia","Primates","Lemuridae",NA
"Lenothrix_cana","Lenothrix cana","1 - exact_fullsci_w_ssp","Lenothrix cana",NA,NA,NA,"Chordata","Mammalia","Rodentia","Muridae",NA
"Leontopithecus_chrysopygus","Leontopithecus chrysopygus","1 - exact_fullsci_w_ssp","Leontopithecus chrysopygus",NA,NA,NA,"Chordata","Mammalia","Primates","Cebidae",NA
"Leontopithecus_rosalia","Leontopithecus rosalia","1 - exact_fullsci_w_ssp","Leontopithecus rosalia",NA,NA,NA,"Chordata","Mammalia","Primates","Cebidae",NA
"Leopardus_colocola","Leopardus colocola","1 - exact_fullsci_w_ssp","Leopardus colocola",NA,NA,NA,"Chordata","Mammalia","Carnivora","Felidae",NA
"Leopardus_geoffroyi","Leopardus geoffroyi","1 - exact_fullsci_w_ssp","Leopardus geoffroyi",NA,NA,NA,"Chordata","Mammalia","Carnivora","Felidae",NA
"Leopardus_guigna","Leopardus guigna","1 - exact_fullsci_w_ssp","Leopardus guigna",NA,NA,NA,"Chordata","Mammalia","Carnivora","Felidae",NA
"Leopardus_guttulus","Leopardus guttulus","1 - exact_fullsci_w_ssp","Leopardus guttulus",NA,NA,NA,"Chordata","Mammalia","Carnivora","Felidae",NA
"Leopardus_jacobita","Leopardus jacobita","1 - exact_fullsci_w_ssp","Leopardus jacobita",NA,NA,NA,"Chordata","Mammalia","Carnivora","Felidae",NA
"Leopardus_pardalis","Leopardus pardalis","1 - exact_fullsci_w_ssp","Leopardus pardalis",NA,NA,NA,"Chordata","Mammalia","Carnivora","Felidae",NA
"Leopardus_tigrinus","Leopardus tigrinus","1 - exact_fullsci_w_ssp","Leopardus tigrinus",NA,NA,NA,"Chordata","Mammalia","Carnivora","Felidae",NA
"Leopardus_wiedii","Leopardus wiedii","1 - exact_fullsci_w_ssp","Leopardus wiedii",NA,NA,NA,"Chordata","Mammalia","Carnivora","Felidae",NA
"Leopoldamys_edwardsi","Leopoldamys edwardsi","1 - exact_fullsci_w_ssp","Leopoldamys edwardsi",NA,NA,NA,"Chordata","Mammalia","Rodentia","Muridae",NA
"Leopoldamys_sabanus","Leopoldamys sabanus","1 - exact_fullsci_w_ssp","Leopoldamys sabanus",NA,NA,NA,"Chordata","Mammalia","Rodentia","Muridae",NA
"Lepilemur_aeeclis","Lepilemur aeeclis","1 - exact_fullsci_w_ssp","Lepilemur aeeclis",NA,NA,NA,"Chordata","Mammalia","Primates","Lepilemuridae",NA
"Lepilemur_ankaranensis","Lepilemur ankaranensis","1 - exact_fullsci_w_ssp","Lepilemur ankaranensis",NA,NA,NA,"Chordata","Mammalia","Primates","Lepilemuridae",NA
"Lepilemur_betsileo","Lepilemur betsileo","1 - exact_fullsci_w_ssp","Lepilemur betsileo",NA,NA,NA,"Chordata","Mammalia","Primates","Lepilemuridae",NA
"Lepilemur_dorsalis","Lepilemur dorsalis","1 - exact_fullsci_w_ssp","Lepilemur dorsalis",NA,NA,NA,"Chordata","Mammalia","Primates","Lepilemuridae",NA
"Lepilemur_edwardsi","Lepilemur edwardsi","1 - exact_fullsci_w_ssp","Lepilemur edwardsi",NA,NA,NA,"Chordata","Mammalia","Primates","Lepilemuridae",NA
"Lepilemur_fleuretae","Lepilemur fleuretae","1 - exact_fullsci_w_ssp","Lepilemur fleuretae",NA,NA,NA,"Chordata","Mammalia","Primates","Lepilemuridae",NA
"Lepilemur_hollandorum","Lepilemur hollandorum","1 - exact_fullsci_w_ssp","Lepilemur hollandorum",NA,NA,NA,"Chordata","Mammalia","Primates","Lepilemuridae",NA
"Lepilemur_leucopus","Lepilemur leucopus","1 - exact_fullsci_w_ssp","Lepilemur leucopus",NA,NA,NA,"Chordata","Mammalia","Primates","Lepilemuridae",NA
"Lepilemur_microdon","Lepilemur microdon","1 - exact_fullsci_w_ssp","Lepilemur microdon",NA,NA,NA,"Chordata","Mammalia","Primates","Lepilemuridae",NA
"Lepilemur_milanoii","Lepilemur milanoii","1 - exact_fullsci_w_ssp","Lepilemur milanoii",NA,NA,NA,"Chordata","Mammalia","Primates","Lepilemuridae",NA
"Lepilemur_mustelinus","Lepilemur mustelinus","1 - exact_fullsci_w_ssp","Lepilemur mustelinus",NA,NA,NA,"Chordata","Mammalia","Primates","Lepilemuridae",NA
"Lepilemur_otto","Lepilemur otto","1 - exact_fullsci_w_ssp","Lepilemur otto",NA,NA,NA,"Chordata","Mammalia","Primates","Lepilemuridae",NA
"Lepilemur_petteri","Lepilemur petteri","1 - exact_fullsci_w_ssp","Lepilemur petteri",NA,NA,NA,"Chordata","Mammalia","Primates","Lepilemuridae",NA
"Lepilemur_randrianasoloi","Lepilemur randrianasoloi","1 - exact_fullsci_w_ssp","Lepilemur randrianasoloi",NA,NA,NA,"Chordata","Mammalia","Primates","Lepilemuridae",NA
"Lepilemur_ruficaudatus","Lepilemur ruficaudatus","1 - exact_fullsci_w_ssp","Lepilemur ruficaudatus",NA,NA,NA,"Chordata","Mammalia","Primates","Lepilemuridae",NA
"Lepilemur_sahamalaza","Lepilemur sahamalaza","1 - exact_fullsci_w_ssp","Lepilemur sahamalaza",NA,NA,NA,"Chordata","Mammalia","Primates","Lepilemuridae",NA
"Lepilemur_scottorum","Lepilemur scottorum","1 - exact_fullsci_w_ssp","Lepilemur scottorum",NA,NA,NA,"Chordata","Mammalia","Primates","Lepilemuridae",NA
"Lepilemur_seali","Lepilemur seali","1 - exact_fullsci_w_ssp","Lepilemur seali",NA,NA,NA,"Chordata","Mammalia","Primates","Lepilemuridae",NA
"Lepilemur_septentrionalis","Lepilemur septentrionalis","1 - exact_fullsci_w_ssp","Lepilemur septentrionalis",NA,NA,NA,"Chordata","Mammalia","Primates","Lepilemuridae",NA
"Lepilemur_tymerlachsoni","Lepilemur tymerlachsoni","1 - exact_fullsci_w_ssp","Lepilemur tymerlachsoni",NA,NA,NA,"Chordata","Mammalia","Primates","Lepilemuridae",NA
"Leptailurus_serval","Leptailurus serval","1 - exact_fullsci_w_ssp","Leptailurus serval",NA,NA,NA,"Chordata","Mammalia","Carnivora","Felidae",NA
"Leptonychotes_weddellii","Leptonychotes weddellii","1 - exact_fullsci_w_ssp","Leptonychotes weddellii",NA,NA,NA,"Chordata","Mammalia","Carnivora","Phocidae",NA
"Leptonycteris_curasoae","Leptonycteris curasoae","1 - exact_fullsci_w_ssp","Leptonycteris curasoae",NA,NA,NA,"Chordata","Mammalia","Chiroptera","Phyllostomidae",NA
"Leptonycteris_nivalis","Leptonycteris nivalis","1 - exact_fullsci_w_ssp","Leptonycteris nivalis",NA,NA,NA,"Chordata","Mammalia","Chiroptera","Phyllostomidae",NA
"Leptonycteris_yerbabuenae","Leptonycteris yerbabuenae","1 - exact_fullsci_w_ssp","Leptonycteris yerbabuenae",NA,NA,NA,"Chordata","Mammalia","Chiroptera","Phyllostomidae",NA
"Lepus_americanus","Lepus americanus","1 - exact_fullsci_w_ssp","Lepus americanus",NA,NA,NA,"Chordata","Mammalia","Lagomorpha","Leporidae",NA
"Lepus_arcticus","Lepus arcticus","1 - exact_fullsci_w_ssp","Lepus arcticus",NA,NA,NA,"Chordata","Mammalia","Lagomorpha","Leporidae",NA
"Lepus_brachyurus","Lepus brachyurus","1 - exact_fullsci_w_ssp","Lepus brachyurus",NA,NA,NA,"Chordata","Mammalia","Lagomorpha","Leporidae",NA
"Lepus_californicus","Lepus californicus","1 - exact_fullsci_w_ssp","Lepus californicus",NA,NA,NA,"Chordata","Mammalia","Lagomorpha","Leporidae",NA
"Lepus_capensis","Lepus capensis","1 - exact_fullsci_w_ssp","Lepus capensis",NA,NA,NA,"Chordata","Mammalia","Lagomorpha","Leporidae",NA
"Lepus_castroviejoi","Lepus castroviejoi","1 - exact_fullsci_w_ssp","Lepus castroviejoi",NA,NA,NA,"Chordata","Mammalia","Lagomorpha","Leporidae",NA
"Lepus_comus","Lepus comus","1 - exact_fullsci_w_ssp","Lepus comus",NA,NA,NA,"Chordata","Mammalia","Lagomorpha","Leporidae",NA
"Lepus_coreanus","Lepus coreanus","1 - exact_fullsci_w_ssp","Lepus coreanus",NA,NA,NA,"Chordata","Mammalia","Lagomorpha","Leporidae",NA
"Lepus_corsicanus","Lepus corsicanus","1 - exact_fullsci_w_ssp","Lepus corsicanus",NA,NA,NA,"Chordata","Mammalia","Lagomorpha","Leporidae",NA
"Lepus_europaeus","Lepus europaeus","1 - exact_fullsci_w_ssp","Lepus europaeus",NA,NA,NA,"Chordata","Mammalia","Lagomorpha","Leporidae",NA
"Lepus_granatensis","Lepus granatensis","1 - exact_fullsci_w_ssp","Lepus granatensis",NA,NA,NA,"Chordata","Mammalia","Lagomorpha","Leporidae",NA
"Lepus_hainanus","Lepus hainanus","1 - exact_fullsci_w_ssp","Lepus hainanus",NA,NA,NA,"Chordata","Mammalia","Lagomorpha","Leporidae",NA
"Lepus_mandshuricus","Lepus mandshuricus","1 - exact_fullsci_w_ssp","Lepus mandshuricus",NA,NA,NA,"Chordata","Mammalia","Lagomorpha","Leporidae",NA
"Lepus_nigricollis","Lepus nigricollis","1 - exact_fullsci_w_ssp","Lepus nigricollis",NA,NA,NA,"Chordata","Mammalia","Lagomorpha","Leporidae",NA
"Lepus_oiostolus","Lepus oiostolus","1 - exact_fullsci_w_ssp","Lepus oiostolus",NA,NA,NA,"Chordata","Mammalia","Lagomorpha","Leporidae",NA
"Lepus_othus","Lepus othus","1 - exact_fullsci_w_ssp","Lepus othus",NA,NA,NA,"Chordata","Mammalia","Lagomorpha","Leporidae",NA
"Lepus_saxatilis","Lepus saxatilis","1 - exact_fullsci_w_ssp","Lepus saxatilis",NA,NA,NA,"Chordata","Mammalia","Lagomorpha","Leporidae",NA
"Lepus_sinensis","Lepus sinensis","1 - exact_fullsci_w_ssp","Lepus sinensis",NA,NA,NA,"Chordata","Mammalia","Lagomorpha","Leporidae",NA
"Lepus_tibetanus","Lepus tibetanus","1 - exact_fullsci_w_ssp","Lepus tibetanus",NA,NA,NA,"Chordata","Mammalia","Lagomorpha","Leporidae",NA
"Lepus_timidus","Lepus timidus","1 - exact_fullsci_w_ssp","Lepus timidus",NA,NA,NA,"Chordata","Mammalia","Lagomorpha","Leporidae",NA
"Lepus_tolai","Lepus tolai","1 - exact_fullsci_w_ssp","Lepus tolai",NA,NA,NA,"Chordata","Mammalia","Lagomorpha","Leporidae",NA
"Lepus_townsendii","Lepus townsendii","1 - exact_fullsci_w_ssp","Lepus townsendii",NA,NA,NA,"Chordata","Mammalia","Lagomorpha","Leporidae",NA
