"uid","full_sci_name","match_type","BB_Accepted","BB_Accepted2","BB_Accepted3","BB_Accepted4","p","c","o","f","fuzzy_score"
"Callosciurus_melanogaster","Callosciurus melanogaster","1 - exact_fullsci_w_ssp","Callosciurus melanogaster",NA,NA,NA,"Chordata","Mammalia","Rodentia","Sciuridae",NA
"Callosciurus_nigrovittatus","Callosciurus nigrovittatus","1 - exact_fullsci_w_ssp","Callosciurus nigrovittatus",NA,NA,NA,"Chordata","Mammalia","Rodentia","Sciuridae",NA
"Callosciurus_notatus","Callosciurus notatus","1 - exact_fullsci_w_ssp","Callosciurus notatus",NA,NA,NA,"Chordata","Mammalia","Rodentia","Sciuridae",NA
"Callosciurus_orestes","Callosciurus orestes","1 - exact_fullsci_w_ssp","Callosciurus orestes",NA,NA,NA,"Chordata","Mammalia","Rodentia","Sciuridae",NA
"Callosciurus_phayrei","Callosciurus phayrei","1 - exact_fullsci_w_ssp","Callosciurus phayrei",NA,NA,NA,"Chordata","Mammalia","Rodentia","Sciuridae",NA
"Callosciurus_prevostii","Callosciurus prevostii","1 - exact_fullsci_w_ssp","Callosciurus prevostii",NA,NA,NA,"Chordata","Mammalia","Rodentia","Sciuridae",NA
"Callosciurus_pygerythrus","Callosciurus pygerythrus","1 - exact_fullsci_w_ssp","Callosciurus pygerythrus",NA,NA,NA,"Chordata","Mammalia","Rodentia","Sciuridae",NA
"Callosciurus_quinquestriatus","Callosciurus quinquestriatus","1 - exact_fullsci_w_ssp","Callosciurus quinquestriatus",NA,NA,NA,"Chordata","Mammalia","Rodentia","Sciuridae",NA
"Callospermophilus_lateralis","Callospermophilus lateralis","1 - exact_fullsci_w_ssp","Callospermophilus lateralis",NA,NA,NA,"Chordata","Mammalia","Rodentia","Sciuridae",NA
"Calomyscus_mystax","Calomyscus mystax","1 - exact_fullsci_w_ssp","Calomyscus mystax",NA,NA,NA,"Chordata","Mammalia","Rodentia","Calomyscidae",NA
"Caloprymnus_campestris","Caloprymnus campestris","1 - exact_fullsci_w_ssp","Caloprymnus campestris",NA,NA,NA,"Chordata","Mammalia","Diprotodontia","Potoroidae",NA
"Caluromys_lanatus","Caluromys lanatus","1 - exact_fullsci_w_ssp","Caluromys lanatus",NA,NA,NA,"Chordata","Mammalia","Didelphimorphia","Didelphidae",NA
"Caluromys_philander","Caluromys philander","1 - exact_fullsci_w_ssp","Caluromys philander",NA,NA,NA,"Chordata","Mammalia","Didelphimorphia","Didelphidae",NA
"Calyptophractus_retusus","Calyptophractus retusus","1 - exact_fullsci_w_ssp","Calyptophractus retusus",NA,NA,NA,"Chordata","Mammalia","Cingulata","Chlamyphoridae",NA
"Camelus_bactrianus","Camelus bactrianus","1 - exact_fullsci_w_ssp","Camelus bactrianus",NA,NA,NA,"Chordata","Mammalia","Artiodactyla","Camelidae",NA
"Camelus_dromedarius","Camelus dromedarius","1 - exact_fullsci_w_ssp","Camelus dromedarius",NA,NA,NA,"Chordata","Mammalia","Artiodactyla","Camelidae",NA
"Camelus_ferus","Camelus ferus","1 - exact_fullsci_w_ssp","Camelus ferus",NA,NA,NA,"Chordata","Mammalia","Artiodactyla","Camelidae",NA
"Canis_aureus","Canis aureus","1 - exact_fullsci_w_ssp","Canis aureus",NA,NA,NA,"Chordata","Mammalia","Carnivora","Canidae",NA
"Canis_latrans","Canis latrans","1 - exact_fullsci_w_ssp","Canis latrans",NA,NA,NA,"Chordata","Mammalia","Carnivora","Canidae",NA
"Canis_lupaster","Canis lupaster","1 - exact_fullsci_w_ssp","Canis lupaster",NA,NA,NA,"Chordata","Mammalia","Carnivora","Canidae",NA
"Canis_lupus","Canis lupus","1 - exact_fullsci_w_ssp","Canis lupus",NA,NA,NA,"Chordata","Mammalia","Carnivora","Canidae",NA
"Canis_rufus","Canis rufus","1 - exact_fullsci_w_ssp","Canis rufus",NA,NA,NA,"Chordata","Mammalia","Carnivora","Canidae",NA
"Canis_simensis","Canis simensis","1 - exact_fullsci_w_ssp","Canis simensis",NA,NA,NA,"Chordata","Mammalia","Carnivora","Canidae",NA
"Caperea_marginata","Caperea marginata","1 - exact_fullsci_w_ssp","Caperea marginata",NA,NA,NA,"Chordata","Mammalia","Artiodactyla","Neobalaenidae",NA
"Capra_aegagrus","Capra aegagrus","1 - exact_fullsci_w_ssp","Capra aegagrus",NA,NA,NA,"Chordata","Mammalia","Artiodactyla","Bovidae",NA
"Capra_caucasica","Capra caucasica","1 - exact_fullsci_w_ssp","Capra caucasica",NA,NA,NA,"Chordata","Mammalia","Artiodactyla","Bovidae",NA
"Capra_cylindricornis","Capra cylindricornis","1 - exact_fullsci_w_ssp","Capra cylindricornis",NA,NA,NA,"Chordata","Mammalia","Artiodactyla","Bovidae",NA
"Capra_falconeri","Capra falconeri","1 - exact_fullsci_w_ssp","Capra falconeri",NA,NA,NA,"Chordata","Mammalia","Artiodactyla","Bovidae",NA
"Capra_hircus","Capra hircus","1 - exact_fullsci_w_ssp","Capra hircus",NA,NA,NA,"Chordata","Mammalia","Artiodactyla","Bovidae",NA
"Capra_ibex","Capra ibex","1 - exact_fullsci_w_ssp","Capra ibex",NA,NA,NA,"Chordata","Mammalia","Artiodactyla","Bovidae",NA
"Capra_nubiana","Capra nubiana","1 - exact_fullsci_w_ssp","Capra nubiana",NA,NA,NA,"Chordata","Mammalia","Artiodactyla","Bovidae",NA
"Capra_pyrenaica","Capra pyrenaica","1 - exact_fullsci_w_ssp","Capra pyrenaica",NA,NA,NA,"Chordata","Mammalia","Artiodactyla","Bovidae",NA
"Capra_sibirica","Capra sibirica","1 - exact_fullsci_w_ssp","Capra sibirica",NA,NA,NA,"Chordata","Mammalia","Artiodactyla","Bovidae",NA
"Capreolus_capreolus","Capreolus capreolus","1 - exact_fullsci_w_ssp","Capreolus capreolus",NA,NA,NA,"Chordata","Mammalia","Artiodactyla","Cervidae",NA
"Capreolus_pygargus","Capreolus pygargus","1 - exact_fullsci_w_ssp","Capreolus pygargus",NA,NA,NA,"Chordata","Mammalia","Artiodactyla","Cervidae",NA
"Capricornis_crispus","Capricornis crispus","1 - exact_fullsci_w_ssp","Capricornis crispus",NA,NA,NA,"Chordata","Mammalia","Artiodactyla","Bovidae",NA
"Capricornis_rubidus","Capricornis rubidus","1 - exact_fullsci_w_ssp","Capricornis rubidus",NA,NA,NA,"Chordata","Mammalia","Artiodactyla","Bovidae",NA
"Capricornis_sumatraensis","Capricornis sumatraensis","1 - exact_fullsci_w_ssp","Capricornis sumatraensis",NA,NA,NA,"Chordata","Mammalia","Artiodactyla","Bovidae",NA
"Capricornis_swinhoei","Capricornis swinhoei","1 - exact_fullsci_w_ssp","Capricornis swinhoei",NA,NA,NA,"Chordata","Mammalia","Artiodactyla","Bovidae",NA
"Caprolagus_hispidus","Caprolagus hispidus","1 - exact_fullsci_w_ssp","Caprolagus hispidus",NA,NA,NA,"Chordata","Mammalia","Lagomorpha","Leporidae",NA
"Capromys_pilorides","Capromys pilorides","1 - exact_fullsci_w_ssp","Capromys pilorides",NA,NA,NA,"Chordata","Mammalia","Rodentia","Capromyidae",NA
