uid	bb_name	bb_name2	bb_name3	bb_name4	source	notes
Mico_chrysoleucus	Mico chrysoleucos	NA	NA	NA	MDD	M. chrysoleucus is a synonym of M. chrysoleucos
Crocidura_suaveolens	Crocidura suaveolens	Crocidura gueldenstaedtii	NA	NA	MDD	gueldenstaedtii split from C. suaveolens in MOL but not phylogeny
Felis_silvestris	Felis silvestris	Felis lybica	NA	NA	MDD	lybica split from F. silvestris in MOL but not in phylogeny
Jaculus_jaculus	Jaculus jaculus	Jaculus hirtipes	NA	NA	MDD	hirtipes split from J. jaculus in MOL but not in phylogeny
Sorex_palustris	Sorex palustris	Sorex albibarbis	NA	NA	MDD	albibarbis split from S. palustris in MOL/MDD but not in phylogeny
Sorex_cinereus	Sorex cinereus	Sorex fontinalis	NA	NA	MDD	MDD: cinereus tentatively includes fontinalis; MOL treats as distinct species but phylogeny does not
Rhinopoma_hardwickii	Rhinopoma hardwickii	Rhinopoma cystops	NA	NA	MDD	cystops split from R. hardwickii in MOL but not phylogeny
Cervus_elaphus	Cervus elaphus	Cervus canadensis	NA	NA	MDD	canadensis split from elaphus in MOL but not phylogeny
Microtus_pennsylvanicus	Microtus pennsylvanicus	Microtus drummondii	NA	NA	MDD	drummondii split from M. pennsylvanicus in MOL but not phylogeny
Myonycteris_angolensis	Lissonycteris angolensis	NA	NA	NA	MDD	occasionally included under the genus Lissonycteris, although most recent publications include the species under Myonycteris
Mimon_crenulatum	Gardnerycteris crenulatum	Gardnerycteris keenani	NA	NA	MDD	keenani split from G. crenulata; moved from Mimon to Gardnerycteris
Euneomys_mordax	Euneomys fossor	NA	NA	NA	MDD	fossor includes mordax in MOL but both appear in phylogeny
